mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,user
10.788057,10.619301,8.049244,4.7252593,2.4064531,1.4010569,1.4893174,2.7086434,3.025946,1.8438585,1.1006752,1.2792989,0.970084,0.9689007,1.7573597,1.7315264,1.421168,1.1830219,1.1897621,1.6013612,nehir
-3.9087293,-3.9834232,-4.175073,-3.6193683,-3.7029846,-4.627418,-3.1721725,-1.3148744,-2.2263823,-2.6029892,-2.8143735,-1.5480522,-1.4166105,-0.40124178,0.40385973,0.8894159,0.41704863,1.2738354,1.4787185,1.7993636,oguzhan
-2.6079943,-3.5368023,-4.2638,-3.1352432,-3.539313,-3.980626,-2.9850044,-1.9377156,-1.4425998,-1.8098286,-1.7563483,0.9515189,1.045712,3.0229385,5.410332,5.9258413,7.1330433,7.6725607,6.030733,5.108859,suleyman
